,title,doi,publisher
0,A 32-million year cycle detected in sea-level fluctuations over the last 545 Myr,10.1016/j.gsf.2020.06.005,Elsevier BV
1,Accurate quantification of bacterial abundance in metagenomic DNAs accounting for variable DNA integrity levels,10.1099/mgen.0.000417,Microbiology Society
2,A common approach for absolute quantification of short chain CoA thioesters in industrially relevant gram-positive and gram-negative prokaryotic and eukaryotic …,10.21203/rs.3.rs-27099/v1,Research Square
3,A comprehensive survey of integron-associated genes present in metagenomes,10.1186/s12864-020-06830-5,Springer Science and Business Media LLC
4,A computational approach to validate novel drug targets of gentianine from Swertiya chirayita in Plasmodium falciparum,10.1016/j.biosystems.2020.104175,Elsevier BV
5,Acoustic-based sensing and applications: A survey,10.1117/12.2262108.5460418199001,SPIE-Intl Soc Optical Eng
6,A decade of advances in transposon-insertion sequencing,10.1002/cpmb.47,Wiley
7,Advances in Clinical Laboratory Testing for Neurologic Disorders,10.1016/j.cll.2020.06.003,Elsevier BV
8,Advances in molecular and “-omics” technologies to gauge microbial communities and bioremediation at xenobiotic/anthropogen contaminated sites,10.1016/j.biortech.2009.10.080,Elsevier BV
9,A Framework for Emulating Database Operations in Cloud Data Warehouses,10.1145/3318464.3386128,ACM
10,A functional m6A‐RNA methylation pathway in the oyster Crassostrea gigas assumes epitranscriptomic regulation of lophotrochozoan development,10.1111/febs.15500,Wiley
11,Alkaloids of fascaplysin are promising chemotherapeutic agents for the treatment of glioblastoma: Review,10.1016/bs.irn.2020.03.010,Elsevier
12,American Board of Prosthodontics,10.1111/jopr.12404,Wiley
13,[A method of osteoplasty of the mental region of the mandible],10.17116/stomat20209903147,Media Sphere Publishing Group
14,"A molecular docking study revealed that synthetic peptides induced conformational changes in the structure of SARS-CoV-2 spike glycoprotein, disrupting the interaction with human ACE2 receptor",10.37473/dac/10.1101/2020.04.17.046185,"Rescognito, Inc."
15,Analysis of 2-aminopyridine labeled glycans by dual-mode online solid phase extraction for hydrophilic interaction and reversed-phase liquid chromatography,10.1016/j.chroma.2020.461194,Elsevier BV
16,Anchor entrepreneurship and industry catalysis: The rise of the Italian Biomedical Valley,10.1016/j.respol.2020.104045,Elsevier BV
17,An in-silico approach to develop of a multi-epitope vaccine candidate against SARS-CoV-2 envelope (E) protein,10.21203/rs.3.rs-30374/v1,Research Square
18,Antiaging Activity of Peptide Identified from Fermented <i>Trapa Japonica</i> Fruit Extract in Human Dermal Fibroblasts,10.1155/2020/5895029,Hindawi Limited
19,Antiproliferative and caspase-mediated apoptosis inducing effects of Murraya koenigii seeds against cancer cells,10.1016/j.sajb.2020.05.021,Elsevier BV
20,APLICAC AO DA METODOLOGIA GERAR-E-RESOLVER AO PROBLEMA DA ARBORESC ˆENCIA MÍNIMA DE COBERTURA,10.11606/d.3.2011.tde-15032012-123216,"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)"
21,Apollon Project: A Massive Online Open Lab for Citizen Science Driven Environmental Monitoring,10.1109/educon45650.2020.9125151,IEEE
22,Application of in-silico reverse vaccinology for designing multi-epitope vaccine against Coronavirus,10.26434/chemrxiv.12345653,American Chemical Society (ACS)
23,A Relevance-Theoretic Approach to Decision-Making in Subtitling,10.1007/978-3-030-51803-5_4,Springer International Publishing
24,A resource for comparing SARS-CoV2 to other coronaviruses: Coordinate mapping and residue annotation,10.31219/osf.io/y2rth,Center for Open Science
25,A REVIEW OF DESKTOP GRID COMPUTING MIDDLEWARES ON NON-DEDICATED RESOURCES,10.1201/b12206-12,Chapman and Hall/CRC
26,Assessing quality standards for ChIP-seq and related massive parallel sequencing-generated datasets: When rating goes beyond avoiding the crisis,10.1016/j.gdata.2014.08.002,Elsevier BV
27,Assessing the relationship between land tenure issues and land cover changes around the Arabuko Sokoke Forest in Kenya,10.1016/j.landusepol.2020.104625,Elsevier BV
28,Assigning Students to Groups Based on Preference and Traits,10.1016/j.compedu.2009.05.022,Elsevier BV
29,A systematic strategy for the investigation of vaccines and drugs targeting bacteria,10.1016/j.csbj.2020.06.008,Elsevier BV
30,Author Correction: The peptide AC 2 isolated from Bacillus-treated Trapa japonica fruit extract rescues DHT (dihydrotestosterone)-treated human dermal papilla cells and mediates mTORC1 signaling for autophagy and apoptosis suppression,10.1038/s41598-020-65542-8,Springer Science and Business Media LLC
31,Automated pipeline,10.37473/dac/10.1101/2020.08.12.247528,"Rescognito, Inc."
32,Automatic interpretation of cement evaluation logs from cased boreholes using supervised deep neural networks,10.1016/j.petrol.2020.107539,Elsevier BV
33,Benchmark of software tools for prokaryotic chromosomal interaction domain identification,10.1093/bioinformatics/btaa555,Oxford University Press (OUP)
34,Beth Levine (1960–2020),10.1016/j.cell.2020.07.002,Elsevier BV
35,Between external forces and internal factors: The geography of domestic airline services in South Africa,10.1016/j.jtrangeo.2020.102795,Elsevier BV
36,BIMM143: Introduction to Genome Informatics Lab,10.1007/s00335-015-9594-7,Springer Science and Business Media LLC
37,Bioentity2vec: Attribute-and behavior-driven representation for predicting multi-type relationships between bioentities,10.1093/gigascience/giaa032,Oxford University Press (OUP)
38,Biogenic copper nanoparticles synthesized by using a copper-resistant strain Shigella flexneri SNT22 reduced the translocation of cadmium from soil to wheat plants,10.1016/j.jhazmat.2020.123175,Elsevier BV
39,Blood Bacterial Profiles Associated with HIV Infection and Immune Recovery,10.1001/jama.280.2.185,American Medical Association (AMA)
40,Bolsonaro and Social Media: A Critical Discourse Analysis of the Brazilian President's Populist Communication on Twitter,10.1080/22041451.2019.1695082,Informa UK Limited
41,BrisSynBio Art-Science Dossier,10.1007/s11569-020-00368-2,Springer Science and Business Media LLC
42,Cancer of Unknown Primary (CUP): genetic evidence for a novel nosological entity? A case report,10.15252/emmm.201911756,EMBO
43,Channel: Open Innovation Blog,10.11647/obp.0173.0056,Open Book Publishers
44,Chapter 5: A narrative modeling platform: Representing the comprehension of novelty in open-world systems,10.1016/b978-0-12-820543-3.00005-5,Elsevier
45,Chapter 5: Starting points for finding toxicology resources,10.1016/b978-0-12-813724-6.00005-0,Elsevier
46,Chapter 6: Microbial and technological advancements in biogas production,10.1016/b978-0-444-64309-4.00006-4,Elsevier
47,Characterization of the anticancer properties of monoglycosidic cardenolides isolated from Nerium oleander and Streptocaulon tomentosum,10.1016/j.jep.2011.01.038,Elsevier BV
48,Chest CT accuracy in diagnosing COVID-19 during the peak of the Italian epidemic: A retrospective correlation with RT-PCR testing and analysis of discordant cases,10.1016/j.ejrad.2020.109192,Elsevier BV
49,Chromatin accessibility landscape of pediatric T‐lymphoblastic leukemia and human T‐cell precursors,10.1007/978-981-15-0548-5_8,Springer Singapore
50,CMB statistical isotropy confirmation at all scales using multipole vectors,10.1016/j.dark.2020.100608,Elsevier BV
51,"Coherent WaveBurst, a pipeline for unmodeled gravitational-wave data analysis",10.1145/2598394.2598439,ACM Press
52,Comparative analyses of DNA repeats and identification of a novel Fesreba centromeric element in fescues and ryegrasses,10.21203/rs.2.24364/v2,Research Square
53,"Comparative structural and functional analysis of STL and SLL, chitin-binding lectins from Solanum spp.",10.1080/07391102.2020.1781693,Informa UK Limited
54,Comparison of three diagnostic assays in the detection of Pseudoloma neurophilia in zebrafish,10.1089/zeb.2019.1812,Mary Ann Liebert Inc
55,COMPOSITIONS AND METHODS FOR INDUCING INTESTINAL STEM CELL REGENERATION,10.1158/1557-3125.hippo19-pr10,American Association for Cancer Research
56,Comprehending and Improving Cannabis Specialized Metabolism in the Systems Biology Era,10.1016/j.plantsci.2020.110571,Elsevier BV
57,Comprehensive Evaluation of Fourteen Docking Programs on Protein-Peptide Complexes,10.1021/acs.jctc.9b01208.s001,American Chemical Society (ACS)
58,Computational design of a novel multi-epitope vaccine against Coxiella burnetii,10.1016/j.humimm.2020.05.010,Elsevier BV
59,Computational probing of Toxoplasma gondii major surface antigen 1 (SAG1) for enhanced vaccine design against toxoplasmosis,10.1016/j.micpath.2020.104386,Elsevier BV
60,Computer Aided Drug Designing (CADD): Tools used for structure-based drug designing,10.31031/madd.2018.01.000516,Crimson Publishers
61,Creative Chemists: Strategies for Teaching and Learning,10.1039/9781839161094-00001,Royal Society of Chemistry
62,CRISPR-Cas9 based mutagenesis and gene silencing in zebrafish,10.7717/peerj.6793/fig-2,PeerJ
63,Daily lettuce supplements promote foraging behavior and modify the gut microbiota in captive frugivores,10.1002/zoo.21555,Wiley
64,Deep Learning and Knowledge-Based Methods for Computer-Aided Molecular Design — Toward a Unified Approach: State-of-the-Art and Future Directions,10.1016/j.compchemeng.2020.107005,Elsevier BV
65,Design and Synthesis of Novel N1-(Phenoxyethyl) Theobromine Derivatives and Evaluation of Their Cytotoxicity by in-vitro Method with Molecular Docking Study: A …,10.29252/jrums.19.2.137,Armenian Green Publishing Co.
66,Designing a multi-epitope vaccine against SARS-CoV-2: an immunoinformatics approach,10.37473/dac/10.1101/2020.02.28.970343,"Rescognito, Inc."
67,Designing an efficient multi-epitope vaccine against Campylobacter jejuni using immunoinformatics and reverse vaccinology approach,10.1016/j.micpath.2020.104398,Elsevier BV
68,Designing Multi-Epitope Vaccines to Combat Emerging Coronavirus Disease 2019 (COVID-19) by Employing Immuno-Informatics Approach,10.3389/fimmu.2020.01663,Frontiers Media SA
69,Designing peptide-based vaccine candidates for Plasmodium falciparum erythrocyte binding antigen 175,10.1016/j.biologicals.2020.07.002,Elsevier BV
70,Design of a Novel Multi Epitope-Based Vaccine for Pandemic Coronavirus Disease (COVID-19) by Vaccinomics and Probable Prevention Strategy against Avenging …,10.1016/j.ejps.2020.105387,Elsevier BV
71,Design of a Novel Multi Epitope-Based Vaccine for Pandemic Coronavirus Disease (COVID-19) by Vaccinomics and Probable Prevention Strategy against Avenging Zoonotics,10.1016/j.ejps.2020.105387,Elsevier BV
72,Developing a Fully-glycosylated Full-length SARS-CoV-2 Spike Protein Model in a Viral Membrane,10.1021/acs.jpcb.0c04553.s001,American Chemical Society (ACS)
73,Developmental and Cell Biology Board The list of topics and supervisors who offer projects to applicants in the academic year,10.1016/s0070-2153(08)60276-8,Elsevier
74,Digital Divide in Perceived Benefits of Online Health Care and Social Welfare Services: National Cross-Sectional Survey Study,10.2196/preprints.17616,JMIR Publications Inc.
75,Diploid genome architecture revealed by multi-omic data of hybrid mice,10.1101/783662,Cold Spring Harbor Laboratory
76,Directed Panspermia,10.32907/ro-115-150153,Research Outreach
77,Distributed Computing and/or Distributed Database Systems,10.1109/icdcs.1992.235045,IEE Compt. Soc. Press
78,DNA methylation and the core pluripotency network,10.1016/j.ydbio.2020.06.001,Elsevier BV
79,DNA transposons drive genome evolution of the root-knot nematode Meloidogyne incognita,10.24072/pci.evolbiol.100106,Peer Community In
80,DOES THE PROCYCLICALITY OF CAPITAL REQUIREMENTS AFFECT FINANCIAL STABILITY IN CEMAC?,10.29121/granthaalayah.v8.i7.2020.514,Granthaalayah Publications and Printers
81,Dr. Julie V. Hopper,10.1093/nq/s2-viii.208.519b,Oxford University Press (OUP)
82,Dust Reverberation of 3C 273: Torus Structure and Lag-Luminosity Relation,10.3847/1538-3881/ab89b1,American Astronomical Society
83,Effect of sodium butyrate on HDAC8 mRNA expression in colorectal cancer cell lines and molecular docking study of LHX1-sodium butyrate interaction,10.32388/98kuc0,Qeios
84,Effects of mancozeb on the testicular histology of the zebrafish,10.1051/limn/2020009,EDP Sciences
85,Effects of mancozeb on the testicular histology of the zebrafish (Danio rerio),10.1051/limn/2020009,EDP Sciences
86,Efficient Modeling of Particle Transport through Aerosols in GEANT4,10.1142/9789812773678_0079,WORLD SCIENTIFIC
87,"Enhancing Separation of Concerns, Parallelism, and Formalism in Distributed Software Deployment with Madeus",10.1109/apsec.1995.496965,IEEE Comput. Soc. Press
88,Examining supernova events in Type 1 active galactic nuclei,10.1093/mnras/staa1329,Oxford University Press (OUP)
89,Explainable AI and Mass Surveillance System-Based Healthcare Framework to Combat COVID-I9 Like Pandemics,10.1109/mnet.011.2000458,Institute of Electrical and Electronics Engineers (IEEE)
90,Exploring mammalian embryonic ureter growth and functional differentiation in a dish,10.1111/j.1440-169x.2009.01152.x,Wiley
91,Fingerprint-based similarity search identified p-anisidine as an anticancer agent in HeLa and a prospective phytochemical ETV1 transcription factor inhibitor,10.1080/07391102.2020.1783364,Informa UK Limited
92,Five Explorations of the Messier Catalogue of Star Clusters and Nebulae,10.1017/cbo9780511761430.009,Cambridge University Press
93,Five-year clinical and imaging outcomes of primary transobturator midurethral sling procedures for uncomplicated urodynamic stress incontinence,10.1016/j.maturitas.2020.05.005,Elsevier BV
94,Ford Prefect or Volkswagen Golf? On the Differences in the Polish and Belarusian Translations of The Hitchhiker's Guide to the Galaxy,10.15291/sic/3.10.lc.6,University of Zadar
95,Freelap USA,10.12987/yale/9780300232691.003.0004,Yale University Press
96,Functionality-Based Mobile Application Recommendation System with Security and Privacy Awareness,10.1016/j.cose.2020.101972,Elsevier BV
97,Fungal metabarcoding data integration framework for the MycoDiversity DataBase (MDDB),10.1515/jib-2019-0046,Walter de Gruyter GmbH
98,Gamma-ray counterparts of 2WHSP high-synchrotron-peaked BL Lac objects as possible signatures of ultra-high-energy cosmic-ray emission,10.1093/mnras/staa1990,Oxford University Press (OUP)
99,Gender-associated differences in oral microbiota and salivary biochemical parameters in response to feeding,10.1007/s13105-020-00757-x,Springer Science and Business Media LLC
100,Genome-wide analysis of a wheat transcription factor family: the power of bioinformatics resources 27 May 2020,10.1534/g3.117.043679,Genetics Society of America
101,Genome-Wide Identification of Discriminative Genetic Variations in Beef and Dairy Cattle via an Information-Theoretic Approach,10.3390/genes11060678,MDPI AG
102,Global Disaster Forecasting with Space Weather & Geophysical Intelligence,10.1029/gm125p0369,American Geophysical Union
103,GnpIS For Association studies data (GWAS),10.1007/978-1-62703-447-0_8,Humana Press
104,Guardians of the Galaxy: Mobilizing Quality Improvement Teams to Reduce Restraint and Staff Injury,10.1201/9781003072744-12,CRC Press
105,Heuristic computing technique for numerical solutions of nonlinear fourth order Emden–Fowler equation,10.1016/j.matcom.2020.06.021,Elsevier BV
106,Hexagonality as a New Shape‑Based Descriptor of Object,10.1007/s10851-020-00966-5,Springer Science and Business Media LLC
107,How data can be the lingua franca for security and IT,10.1016/s1353-4858(20)30065-9,Elsevier BV
108,Identification and characterization of circular RNAs regulating genes responsible for drought stress tolerance in chickpea and soybean,10.37473//10.1101/2020.02.06.936773,"Rescognito, Inc."
109,“I Have a Narrow Thought Process”: Constraints on Explanations Connecting Inferences and Self-Perceptions,10.1037/e578192014-863,American Psychological Association (APA)
110,Illuminating the impact of diel vertical migration on visual gene expression in deep‐sea shrimp,10.1111/mec.15570,Wiley
111,Immigration and Esports: The Issue of Legitimacy and its Impact on the United States Visa Process,10.14418/wes01.1.1799,Wesleyan University
112,Immunoinformatics characterization of SARS-CoV-2 spike glycoprotein for prioritization of epitope based multivalent peptide vaccine,10.1101/2020.04.05.026005,Cold Spring Harbor Laboratory
113,Immunoinformatics design of multivalent chimeric vaccine for modulation of the immune system in Pseudomonas aeruginosa infection,10.1016/j.meegid.2020.104462,Elsevier BV
