id,pmid,pmc,doi,year,title
22943297,22943297,3491365,10.1186/gb-2012-13-8-318,2012,Turning pipe dreams into reality
25309716,25309716,4193140,10.1186/2041-1480-5-42,2014,Executing SADI services in Galaxy
20738864,20738864,2945788,10.1186/gb-2010-11-8-r86,2010,"Galaxy: a comprehensive approach for supporting accessible, reproducible, and transparent computational research in the life sciences"
29790989,29790989,6030816,10.1093/nar/gky379,2018,"The Galaxy platform for accessible, reproducible and collaborative biomedical analyses: 2018 update"
27137889,27137889,4987906,10.1093/nar/gkw343,2016,"The Galaxy platform for accessible, reproducible and collaborative biomedical analyses: 2016 update"
31197310,31197310,6956780,10.1093/bioinformatics/btz472,2020,Cloud bursting galaxy: federated identity and access management
21531983,21531983,3092608,10.1093/database/bar011,2011,Integrating diverse databases into an unified analysis framework: a Galaxy approach
28077564,28077564,5225400,10.1093/database/baw154,2017,blend4php: a PHP API for galaxy
20804568,20804568,2945776,10.1186/gb-2010-11-8-128,2010,The missing graphical user interface for genomics
32479607,32479607,7319590,10.1093/nar/gkaa434,2020,"The Galaxy platform for accessible, reproducible and collaborative biomedical analyses: 2020 update"
30519459,30519459,6248266,10.12688/f1000research.16450.2,2019,Improve your Galaxy text life: The Query Tabular Tool
23286517,23286517,3643862,10.1186/2041-1480-4-2,2013,"OPPL-Galaxy, a Galaxy tool for enhancing ontology exploitation as part of bioinformatics workflows"
24585771,24585771,4071198,10.1093/bioinformatics/btu119,2014,Wrangling Galaxy’s reference data
28131286,28131286,5023399,10.1038/mtna.2016.54,2016,Galaxy Workflows for Web-based Bioinformatics Analysis of Aptamer High-throughput Sequencing Data
26819474,26819474,4892412,10.1093/bioinformatics/btw042,2016,Galaxy Portal: interacting with the galaxy platform through mobile devices
21347127,21347127,3041519,,2008,Toward the commoditization of translational genomic research: Design and implementation features of the Galaxy genomic workbench.
7488338,,7488338,10.1186/s13321-020-00451-6,2020,"Intuitive, reproducible high-throughput molecular dynamics in Galaxy: a tutorial"
28542180,28542180,5444614,10.1371/journal.pcbi.1005425,2017,Jupyter and Galaxy: Easing entry barriers into complex data analyses for biomedical researchers
22068528,22068528,3868438,10.1038/nbt.2028,2011,Harnessing cloud-computing for biomedical research with Galaxy Cloud
31816088,31816088,6901077,10.1093/gigascience/giz143,2019,Accessible and reproducible mass spectrometry imaging data analysis in Galaxy
24109552,24109552,3792188,10.7717/peerj.167,2013,Galaxy tools and workflows for sequence analysis with applications in molecular plant pathology
30698691,30698691,6354025,10.1093/gigascience/giy167,2019,SMAGEXP: a galaxy tool suite for transcriptomics data meta-analysis
29678131,29678131,5910624,10.1186/s12859-018-2134-1,2018,SECIMTools: a suite of metabolomics data analysis tools
25374662,25374662,4220639,10.1186/2047-217X-3-19,2014,iReport: a generalised Galaxy solution for integrated experimental reporting
29208996,29208996,5717066,10.1038/s41598-017-17104-8,2017,Relativistic inverse Compton scattering of photons from the early universe
30837521,30837521,6400959,10.1038/s41598-019-39717-x,2019,A universal constant for dark matter-baryon interplay
29507511,29507511,5832832,10.1098/rspa.2017.0616,2018,Globular cluster formation and evolution in the context of cosmological galaxy assembly: open questions
32301980,32301980,7319437,10.1093/nar/gkaa220,2020,"Galaxy HiCExplorer 3: a web server for reproducible Hi-C, capture Hi-C and single-cell Hi-C data analysis, quality control and visualization"
7268608,,7268608,10.1186/s13321-020-00442-7,2020,"The ChemicalToolbox: reproducible, user-friendly cheminformatics analysis on the Galaxy platform"
28402416,28402416,5530318,10.1093/gigascience/gix022,2017,ReGaTE: Registration of Galaxy Tools in Elixir
29901812,29901812,6031062,10.1093/nar/gky504,2018,"Galaxy HiCExplorer: a web server for reproducible Hi-C data analysis, quality control and visualization"
28854616,28854616,5569920,10.1093/gigascience/gix048,2017,Bio-Docklets: virtualization containers for single-step execution of NGS pipelines
24990571,24990571,4227113,10.1186/1471-2105-15-230,2014,Osiris: accessible and reproducible phylogenetic and phylogenomic analyses within the Galaxy workflow management system
32621602,32621602,7334887,10.1093/database/baaa032,2020,Tripal and Galaxy: supporting reproducible scientific workflows for community biological databases
32252069,32252069,7136032,10.1093/gigascience/giaa033,2020,Laniakea: an open solution to provide Galaxy “on-demand” instances over heterogeneous cloud infrastructures
26348033,26348033,4569697,10.1038/ncomms8945,2015,Ultraviolet luminosity density of the universe during the epoch of reionization
28582575,28582575,5570170,10.1093/nar/gkx409,2017,The RNA workbench: best practices for RNA and high-throughput sequencing bioinformatics in Galaxy
24928211,24928211,4173020,10.1093/bioinformatics/btu386,2014,BioBlend.objects: metacomputing with Galaxy
30597007,30597007,6377400,10.1093/gigascience/giy166,2018,Galaxy mothur Toolset (GmT): a user-friendly application for 16S rRNA gene sequencing analysis using mothur
22075759,22075759,3309921,10.2183/pjab.87.575,2011,Subaru studies of the cosmic dawn
28163643,28163643,5253994,10.12942/lrr-2004-8,2004,Measuring our Universe from Galaxy Redshift Surveys
23875683,23875683,3734164,10.1186/1471-2164-14-494,2013,Cloud-based uniform ChIP-Seq processing tools for modENCODE and ENCODE
28667318,28667318,5493623,10.1038/s41598-017-04605-9,2017,Automatic Detection of Galaxy Type From Datasets of Galaxies Image Based on Image Retrieval Approach
26336600,26336600,4557756,10.1186/s13742-015-0080-7,2015,NCBI BLAST+ integrated into Galaxy
31073612,31073612,6602469,10.1093/nar/gkz353,2019,The RNA workbench 2.0: next generation RNA data analysis
