File,Article Citation,Accession ID,Last Updated (YYYY-MM-DD HH:MM:SS),PMID,License
oa_package/08/e0/PMC13900.tar.gz,Breast Cancer Res. 2001 Nov 2; 3(1):55-60,PMC13900,2019-11-05 11:56:12,11250746,NO-CC CODE
oa_package/b0/ac/PMC13901.tar.gz,Breast Cancer Res. 2001 Nov 9; 3(1):61-65,PMC13901,2019-11-05 11:56:12,11250747,NO-CC CODE
oa_package/f7/98/PMC13902.tar.gz,Breast Cancer Res. 2001 Nov 8; 3(1):66-75,PMC13902,2019-11-05 11:56:12,11250748,NO-CC CODE
oa_package/9c/7f/PMC13911.tar.gz,Breast Cancer Res. 2000 Nov 16; 2(1):59-63,PMC13911,2013-03-17 14:00:52,11056684,NO-CC CODE
oa_package/c6/fb/PMC13912.tar.gz,Breast Cancer Res. 2000 Dec 6; 2(1):64-72,PMC13912,2019-11-05 11:56:12,11400682,NO-CC CODE
oa_package/3b/77/PMC13913.tar.gz,Breast Cancer Res. 1999 Aug 19; 1(1):73-80,PMC13913,2013-03-17 14:00:52,11056681,NO-CC CODE
oa_package/4b/13/PMC13914.tar.gz,Breast Cancer Res. 1999 Sep 1; 1(1):81-87,PMC13914,2013-03-17 14:00:52,11056682,NO-CC CODE
oa_package/cb/d1/PMC13915.tar.gz,Breast Cancer Res. 1999 Oct 7; 1(1):88-94,PMC13915,2013-03-17 14:00:52,11056683,NO-CC CODE
oa_package/1e/3b/PMC13916.tar.gz,Breast Cancer Res. 2000 Feb 21; 2(2):139-148,PMC13916,2014-02-18 06:06:35,11056686,NO-CC CODE
oa_package/0e/7e/PMC13917.tar.gz,Breast Cancer Res. 2000 Mar 7; 2(3):222-235,PMC13917,2013-05-17 12:53:06,11056687,NO-CC CODE
oa_package/5c/ed/PMC13918.tar.gz,Breast Cancer Res. 2000 Mar 31; 2(4):307-310,PMC13918,2014-02-14 22:46:54,11056688,NO-CC CODE
oa_package/26/04/PMC13919.tar.gz,Breast Cancer Res. 2000 May 24; 2(4):311-320,PMC13919,2014-02-18 06:06:33,11056689,NO-CC CODE
oa_package/80/79/PMC13920.tar.gz,Breast Cancer Res. 2000 Jun 19; 2(5):378-385,PMC13920,2014-02-18 06:06:34,11056690,NO-CC CODE
oa_package/17/bb/PMC13921.tar.gz,Breast Cancer Res. 2000 Aug 21; 2(6):438-443,PMC13921,2014-04-29 14:49:00,11056691,NO-CC CODE
oa_package/75/f4/PMC13922.tar.gz,Breast Cancer Res. 2000 Sep 6; 2(6):444-454,PMC13922,2014-04-29 14:49:02,11056692,NO-CC CODE
oa_package/75/59/PMC13923.tar.gz,Breast Cancer Res. 2001 Dec 22; 3(2):122-133,PMC13923,2014-04-29 19:39:41,11250759,NO-CC CODE
oa_package/28/84/PMC13924.tar.gz,Breast Cancer Res. 2001 Jan 5; 3(2):134-141,PMC13924,2019-11-05 11:56:12,11250760,NO-CC CODE
oa_package/31/18/PMC14752.tar.gz,Mol Biol Cell. 2000 Jan; 11(1):1-11,PMC14752,2018-06-26 06:14:06,10637286,NO-CC CODE
oa_package/5b/5c/PMC15015.tar.gz,Genome Biol. 2000 Aug 4; 1(2):research0003.1-research0003.21,PMC15015,2014-04-29 19:45:04,11178228,NO-CC CODE
oa_package/0b/1e/PMC15016.tar.gz,Genome Biol. 2000 Jul 28; 1(2):research0004.1-research0004.4,PMC15016,2014-04-29 19:45:05,11178229,NO-CC CODE
oa_package/c4/29/PMC15023.tar.gz,Genome Biol. 2000 Sep 1; 1(3):research0005.1-research0005.11,PMC15023,2014-04-29 19:45:08,11178238,NO-CC CODE
oa_package/d9/34/PMC15024.tar.gz,Genome Biol. 2000 Sep 13; 1(3):research0006.1-research0006.3,PMC15024,2014-04-29 19:45:08,11178239,NO-CC CODE
oa_package/1e/44/PMC15025.tar.gz,Genome Biol. 2000 Oct 13; 1(4):research0007.1-research0007.8,PMC15025,2014-04-29 19:45:08,11178247,NO-CC CODE
oa_package/5b/53/PMC15026.tar.gz,Genome Biol. 2000 Oct 16; 1(4):research0008.1-research0008.15,PMC15026,2014-04-29 19:45:12,11178248,NO-CC CODE
oa_package/9c/ed/PMC15027.tar.gz,Genome Biol. 2000 Nov 6; 1(5):research0009.1-research0009.19,PMC15027,2014-04-29 19:45:12,11178258,NO-CC CODE
oa_package/7a/57/PMC15028.tar.gz,Genome Biol. 2000 Nov 6; 1(5):research0010.1-research0010.10,PMC15028,2014-04-29 19:45:12,11178259,NO-CC CODE
oa_package/13/da/PMC16139.tar.gz,Genome Biol. 2000 Dec 4; 1(6):research0011.1-11.9,PMC16139,2014-04-29 19:46:08,11178265,NO-CC CODE
oa_package/fc/2e/PMC16141.tar.gz,Genome Biol. 2000 Dec 4; 1(6):research0012.1-12.15,PMC16141,2014-04-29 19:46:08,11178266,NO-CC CODE
oa_package/3b/d6/PMC16144.tar.gz,Genome Biol. 2000 Dec 4; 1(6):research0013.1-13.13,PMC16144,2014-04-29 19:46:09,11178267,NO-CC CODE
oa_package/be/ab/PMC16145.tar.gz,Genome Biol. 2000 Dec 4; 1(6):research0014.1-14.17,PMC16145,2014-04-29 19:46:09,11178268,NO-CC CODE
oa_package/78/64/PMC17597.tar.gz,Genome Biol. 2001 Dec 20; 2(1):research0001.1-research0001.6,PMC17597,2014-04-29 19:50:28,11178278,NO-CC CODE
oa_package/5d/ac/PMC17598.tar.gz,Genome Biol. 2001 Dec 20; 2(1):research0002.1-research0002.10,PMC17598,2014-04-29 19:50:28,11178279,NO-CC CODE
oa_package/60/45/PMC17599.tar.gz,Genome Biol. 2001 Jan 10; 2(1):research0003.1-research0003.12,PMC17599,2019-11-05 11:56:12,11178280,NO-CC CODE
oa_package/87/30/PMC17774.tar.gz,Arthritis Res. 1999 Oct 14; 1(1):63-70,PMC17774,2014-04-29 19:51:27,11056661,NO-CC CODE
oa_package/67/b5/PMC17776.tar.gz,Arthritis Res. 1999 Oct 26; 1(1):71-80,PMC17776,2014-04-29 19:51:27,11056662,NO-CC CODE
oa_package/e2/1f/PMC17779.tar.gz,Arthritis Res. 1999 Oct 26; 1(1):81-91,PMC17779,2020-04-17 20:37:16,11056663,NO-CC CODE
oa_package/4f/3c/PMC17803.tar.gz,Arthritis Res. 2000 Dec 1; 2(1):50-58,PMC17803,2019-11-05 11:56:12,11219389,NO-CC CODE
oa_package/9d/bf/PMC17804.tar.gz,Arthritis Res. 2000 Dec 6; 2(1):59-64,PMC17804,2014-04-29 19:51:27,11219390,NO-CC CODE
oa_package/c9/38/PMC17805.tar.gz,Arthritis Res. 2000 Dec 22; 2(1):65-74,PMC17805,2014-04-29 19:51:27,11219391,NO-CC CODE
oa_package/70/ed/PMC17806.tar.gz,Arthritis Res. 2000 Dec 22; 2(1):75-84,PMC17806,2014-04-29 19:51:28,11219392,NO-CC CODE
oa_package/57/37/PMC17807.tar.gz,Arthritis Res. 2000 Feb 24; 2(2):142-144,PMC17807,2015-12-04 12:24:44,11062604,NO-CC CODE
oa_package/fe/9e/PMC17808.tar.gz,Arthritis Res. 2000 Feb 9; 2(2):145-153,PMC17808,2014-04-29 19:51:28,11062605,NO-CC CODE
oa_package/e0/5a/PMC17809.tar.gz,Arthritis Res. 2000 Feb 7; 2(2):154-164,PMC17809,2014-04-29 19:51:28,11062606,NO-CC CODE
